Champions,Pick,KDA,Winrate
"탐 켄치",9,2.75,0.56
라칸,6,2.71,0.67
레오나,5,1.79,0.40
"레나타 글라스크",5,3.17,0.60
나미,4,3.23,0.25
아무무,4,2.62,0.50
룰루,4,3.00,0.50
노틸러스,3,2.33,0.33
렐,2,1.78,0.50
브라움,2,4.75,0.50
세라핀,1,6.00,0.00
유미,1,2.00,0.00
카르마,1,0.50,0.00
세나,1,6.00,1.00
질리언,1,0.25,0.00
