Champions,Pick,KDA,Winrate
아펠리오스,20,2.69,0.35
징크스,16,3.88,0.63
제리,13,4.32,0.54
자야,9,3.38,0.56
세나,9,3.48,0.33
칼리스타,9,5.06,0.67
이즈리얼,7,2.40,0.57
케이틀린,6,4.78,0.67
루시안,5,4.10,0.20
시비르,5,3.73,0.60
바루스,5,5.22,0.80
"미스 포츈",5,3.73,0.40
카이사,4,12.75,1.00
애쉬,4,4.56,0.75
진,3,14.50,0.67
베인,2,3.00,0.50
트리스타나,2,10.50,1.00
닐라,1,13.00,1.00
직스,1,2.50,0.00
트위치,1,9.00,1.00
코그모,1,4.00,0.00
야스오,1,8.4,1.00
드레이븐,1,7.00,1.00
