Champions,Pick,KDA,Winrate
하이머딩거,6,2.25,0.50
룰루,6,3.20,0.50
"레나타 글라스크",5,3.42,0.40
아무무,3,3.89,0.67
유미,3,10.25,1.00
소라카,3,4.50,0.67
브라움,2,14.50,1.00
렐,2,3.25,1.00
럭스,2,16.00,1.00
바드,1,10.00,1.00
"탐 켄치",1,7.2,1.00
애쉬,1,4.33,1.00
카르마,1,14.00,1.00
