Champions,Pick,KDA,Winrate
그웬,18,2.16,0.39
나르,18,2.11,0.50
아트록스,16,3.66,0.69
그라가스,12,3.37,0.67
오른,11,4.61,0.64
제이스,9,3.94,0.67
카밀,9,2.18,0.56
갱플랭크,6,5.22,0.67
세주아니,6,4.06,0.50
그레이브즈,3,0.78,0.00
트린다미어,3,0.64,0.33
올라프,3,1.50,0.00
피오라,3,3.40,0.67
잭스,2,23.4,1.00
아칼리,2,15.00,0.50
사이온,2,2.50,0.50
레넥톤,1,10.00,0.00
아크샨,1,10.00,1.00
케일,1,4.67,1.00
쉬바나,1,1.50,0.00
"리 신",1,15.00,1.00
마오카이,1,0.40,0.00
사일러스,1,10.00,1.00
