Champions,Pick,KDA,Winrate
세나,8,3.36,0.38
칼리스타,7,5.07,0.71
루시안,5,4.10,0.20
아펠리오스,5,2.37,0.40
제리,4,3.78,0.25
징크스,4,3.33,0.50
자야,3,3.67,0.33
이즈리얼,3,1.00,0.67
시비르,3,4.14,0.67
닐라,1,13.00,1.00
트위치,1,9.00,1.00
코그모,1,4.00,0.00
애쉬,1,10.00,1.00
야스오,1,8.4,1.00
베인,1,2.00,0.00
바루스,1,3.33,0.00
