Champions,Pick,KDA,Winrate
아리,13,5.57,0.46
아지르,8,3.53,0.50
아칼리,5,3.90,0.40
코르키,5,9.17,0.80
리산드라,4,2.31,0.25
사일러스,4,4.58,0.75
탈리야,3,2.33,0.33
스웨인,2,2.80,0.50
세라핀,2,5.33,0.00
르블랑,1,5.00,0.00
오리아나,1,8.00,1.00
빅토르,1,0.50,0.00
