Champions,Pick,KDA,Winrate
비에고,6,5.18,0.67
킨드레드,4,6.80,1.00
세주아니,4,5.71,0.75
그레이브즈,3,2.86,0.33
바이,3,3.86,0.67
마오카이,2,23.00,1.00
오공,2,3.00,0.50
헤카림,1,3.25,1.00
뽀삐,1,6.00,0.00
트런들,1,1.00,0.00
