Champions,Pick,KDA,Winrate
아펠리오스,15,2.86,0.33
징크스,12,4.09,0.67
자야,5,2.93,0.60
카이사,4,12.75,1.00
진,3,14.50,0.67
케이틀린,2,1.29,0.00
세나,1,4.33,0.00
제리,1,7.00,1.00
베인,1,6.00,1.00
직스,1,2.50,0.00
