Champions,Pick,KDA,Winrate
레오나,14,2.09,0.57
"탐 켄치",14,2.68,0.64
"레나타 글라스크",13,3.23,0.54
룰루,12,3.47,0.50
라칸,10,2.69,0.60
노틸러스,10,1.79,0.40
렐,7,2.17,0.57
아무무,7,3.00,0.57
하이머딩거,6,2.25,0.50
카르마,5,5.33,0.60
나미,4,3.23,0.25
럭스,4,2.50,0.50
유미,4,6.13,0.75
브라움,4,8.00,0.75
쓰레쉬,3,1.82,0.33
질리언,3,1.88,0.33
소라카,3,4.50,0.67
알리스타,2,2.25,0.50
소나,1,2.50,0.00
세라핀,1,6.00,0.00
세나,1,6.00,1.00
바드,1,10.00,1.00
애쉬,1,4.33,1.00
