Champions,Pick,KDA,Winrate
레오나,9,2.31,0.67
노틸러스,7,1.58,0.43
라칸,4,2.67,0.50
"탐 켄치",4,2.08,0.75
"레나타 글라스크",3,3.00,0.67
쓰레쉬,3,1.82,0.33
카르마,3,5.50,0.67
렐,3,2.10,0.33
룰루,2,7.00,0.50
알리스타,2,2.25,0.50
질리언,2,3.50,0.50
럭스,2,1.00,0.00
소나,1,2.50,0.00
