Champions,Pick,KDA,Winrate
아트록스,12,4.95,0.83
카밀,7,2.62,0.71
오른,3,4.80,0.67
피오라,3,3.40,0.67
그라가스,3,3.00,0.67
세주아니,2,1.11,0.00
나르,2,5.33,1.00
마오카이,1,0.40,0.00
사일러스,1,10.00,1.00
그웬,1,1.67,0.00
잭스,1,12.6,1.00
