Champions,Pick,KDA,Winrate
"리 신",15,3.25,0.60
"신 짜오",10,2.41,0.40
비에고,7,2.26,0.57
헤카림,6,4.08,0.50
"자르반 4세",4,3.25,0.50
뽀삐,1,5.00,1.00
다이애나,1,0.83,0.00
볼리베어,1,0.40,0.00
