Champions,Pick,KDA,Winrate
비에고,9,4.35,0.56
뽀삐,8,2.84,0.50
트런들,7,4.69,0.57
"리 신",7,3.89,0.43
오공,5,1.10,0.20
"신 짜오",3,4.14,0.67
킨드레드,2,6.25,1.00
모르가나,1,2.75,0.00
헤카림,1,2.33,0.00
벨베스,1,2.00,0.00
바이,1,13.8,1.00
그레이브즈,1,3.67,0.00
