,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
54,22.07.28,2022 LoL 챔피언스 코리아 서머 정규 시즌 32일 차 2경기 1세트,DRX BeryL,질리언,패,0,4,1
55,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 3세트,DRX BeryL,레오나,승,0,6,16
56,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 2세트,DRX BeryL,라칸,패,0,1,0
57,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 1세트,DRX BeryL,세나,승,4,2,8
58,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 3세트,DRX BeryL,탐 켄치,승,1,4,17
59,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 2세트,DRX BeryL,탐 켄치,승,1,3,9
60,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 1세트,DRX BeryL,카르마,패,0,2,1
61,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 2세트,DRX BeryL,노틸러스,패,0,3,10
62,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 1세트,DRX BeryL,탐 켄치,패,0,1,1
63,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 3세트,DRX BeryL,유미,패,1,4,7
64,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 2세트,DRX BeryL,세라핀,패,1,1,5
65,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 1세트,DRX BeryL,레나타 글라스크,승,1,3,6
66,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 2세트,DRX BeryL,레나타 글라스크,패,0,4,3
67,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 1세트,DRX BeryL,룰루,패,0,2,10
68,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 3세트,DRX BeryL,나미,승,3,2,10
69,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 2세트,DRX BeryL,탐 켄치,패,1,3,3
70,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 1세트,DRX BeryL,아무무,승,1,3,15
71,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 2세트,DRX BeryL,레나타 글라스크,패,0,4,2
72,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 1세트,DRX BeryL,아무무,패,2,4,7
73,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 3세트,DRX BeryL,렐,패,1,7,6
74,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX BeryL,레나타 글라스크,승,1,1,11
75,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 1세트,DRX BeryL,아무무,패,1,7,8
76,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 2세트,DRX BeryL,라칸,승,0,0,11
77,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 1세트,DRX BeryL,라칸,승,0,5,13
78,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 3세트,DRX BeryL,라칸,승,0,0,1
79,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 2세트,DRX BeryL,탐 켄치,패,4,5,8
80,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 1세트,DRX BeryL,탐 켄치,승,2,2,12
81,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 1세트,DRX BeryL,브라움,승,0,1,7
82,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 2세트,DRX BeryL,렐,승,1,2,8
83,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 2세트,DRX BeryL,탐 켄치,승,1,5,8
84,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 1세트,DRX BeryL,레오나,승,0,5,12
85,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 5세트,DRX BeryL,노틸러스,패,0,5,6
86,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 4세트,DRX BeryL,레나타 글라스크,승,1,2,14
87,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 3세트,DRX BeryL,라칸,패,0,3,2
88,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 2세트,DRX BeryL,레오나,승,2,5,7
89,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 1세트,DRX BeryL,레오나,패,0,6,4
90,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 2세트,DRX BeryL,럭스,패,0,4,7
91,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 1세트,DRX BeryL,레오나,패,0,4,2
92,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 2세트,DRX BeryL,질리언,패,1,3,0
93,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 1세트,DRX BeryL,노틸러스,패,0,5,2
94,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 3세트,DRX BeryL,탐 켄치,승,1,1,3
95,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 2세트,DRX BeryL,라칸,승,1,3,14
