Champions,Pick,KDA,Winrate
제리,8,4.29,0.63
"미스 포츈",5,3.73,0.40
바루스,4,6.17,1.00
케이틀린,4,17.00,1.00
이즈리얼,4,3.33,0.50
애쉬,3,3.88,0.67
시비르,2,3.00,0.50
칼리스타,2,5.00,0.50
트리스타나,2,10.50,1.00
드레이븐,1,7.00,1.00
자야,1,8.00,1.00
