,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
52,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 2세트,DRX Pyosik,벨베스,패,2,3,4
53,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 1세트,DRX Pyosik,뽀삐,승,3,0,6
54,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 2세트,DRX Pyosik,리 신,패,1,2,3
55,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 1세트,DRX Pyosik,리 신,패,6,3,4
56,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 3세트,DRX Pyosik,뽀삐,승,4,2,8
57,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 2세트,DRX Pyosik,트런들,패,1,1,4
58,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 1세트,DRX Pyosik,트런들,승,3,0,12
59,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 2세트,DRX Pyosik,뽀삐,패,0,3,1
60,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 1세트,DRX Pyosik,헤카림,패,2,3,5
61,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 3세트,DRX Pyosik,비에고,패,1,3,6
62,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX Pyosik,비에고,승,1,1,6
63,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 1세트,DRX Pyosik,비에고,패,1,3,6
64,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 2세트,DRX Pyosik,비에고,승,3,1,6
65,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 1세트,DRX Pyosik,비에고,승,6,2,12
66,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 3세트,DRX Pyosik,뽀삐,승,2,0,5
67,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 2세트,DRX Pyosik,그레이브즈,패,5,3,6
68,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 1세트,DRX Pyosik,킨드레드,승,4,1,10
69,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 2세트,DRX Pyosik,오공,승,4,1,2
70,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 1세트,DRX Pyosik,트런들,승,1,0,6
71,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 2세트,DRX Pyosik,킨드레드,승,5,3,6
72,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 1세트,DRX Pyosik,비에고,승,7,2,3
73,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 5세트,DRX Pyosik,리 신,패,1,3,3
74,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 4세트,DRX Pyosik,리 신,승,7,3,9
75,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 3세트,DRX Pyosik,비에고,패,1,3,2
76,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 2세트,DRX Pyosik,리 신,승,1,3,11
77,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 1세트,DRX Pyosik,비에고,패,3,4,0
78,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 2세트,DRX Pyosik,신 짜오,패,2,4,6
79,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 1세트,DRX Pyosik,볼리베어,패,0,5,2
80,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 2세트,DRX Pyosik,헤카림,패,0,3,1
81,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 1세트,DRX Pyosik,헤카림,패,3,3,0
