Champions,Pick,KDA,Winrate
아칼리,6,4.46,1.00
르블랑,6,2.17,0.33
아리,5,4.29,0.60
"트위스티드 페이트",4,2.88,0.50
빅토르,4,4.43,0.50
벡스,4,5.80,0.50
갈리오,3,5.17,0.33
라이즈,3,2.00,0.00
코르키,3,5.17,0.67
조이,2,5.00,0.50
베이가,1,1.50,0.00
야스오,1,5.6,0.00
트린다미어,1,6.6,1.00
리산드라,1,5.50,1.00
오리아나,1,1.33,0.00
