Champions,Pick,KDA,Winrate
사일러스,13,5.41,0.77
아지르,11,3.00,0.55
아칼리,7,16.00,0.71
요네,1,11.00,1.00
오리아나,1,4.00,0.00
아리,1,7.0,1.00
갈리오,1,5.50,1.00
스웨인,1,6.00,1.00
