,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
54,22.07.28,2022 LoL 챔피언스 코리아 서머 정규 시즌 32일 차 2경기 1세트,DRX Zeka,탈리야,패,2,1,1
55,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 3세트,DRX Zeka,아리,승,3,1,13
56,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 2세트,DRX Zeka,아지르,패,0,2,0
57,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 1세트,DRX Zeka,사일러스,승,4,1,6
58,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 3세트,DRX Zeka,아지르,승,8,2,14
59,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 2세트,DRX Zeka,코르키,승,3,0,9
60,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 1세트,DRX Zeka,아칼리,패,0,1,1
61,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 2세트,DRX Zeka,아칼리,패,5,2,4
62,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 1세트,DRX Zeka,아지르,패,1,2,0
63,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 3세트,DRX Zeka,아지르,패,4,4,3
64,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 2세트,DRX Zeka,아지르,패,4,3,2
65,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 1세트,DRX Zeka,탈리야,승,0,1,5
66,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 2세트,DRX Zeka,세라핀,패,0,2,3
67,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 1세트,DRX Zeka,세라핀,패,0,1,13
68,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 3세트,DRX Zeka,스웨인,승,4,0,4
69,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 2세트,DRX Zeka,코르키,패,2,3,3
70,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 1세트,DRX Zeka,코르키,승,5,0,10
71,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 2세트,DRX Zeka,빅토르,패,1,2,0
72,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 1세트,DRX Zeka,아리,패,0,2,6
73,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 3세트,DRX Zeka,아리,패,1,2,5
74,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX Zeka,오리아나,승,3,1,5
75,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX Zeka,오리아나,승,3,1,5
76,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 2세트,DRX Zeka,아칼리,승,8,0,3
77,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 1세트,DRX Zeka,코르키,승,6,3,7
78,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 3세트,DRX Zeka,아지르,승,1,3,2
79,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 2세트,DRX Zeka,아리,패,1,1,9
80,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 1세트,DRX Zeka,아리,승,11,0,6
81,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 1세트,DRX Zeka,코르키,승,5,0,5
82,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 2세트,DRX Zeka,아리,승,4,1,7
83,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 2세트,DRX Zeka,아지르,승,9,3,6
84,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 1세트,DRX Zeka,아칼리,승,3,3,8
85,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 5세트,DRX Zeka,갈리오,패,1,2,6
86,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 4세트,DRX Zeka,아칼리,승,7,3,3
87,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 3세트,DRX Zeka,베이가,패,2,2,1
88,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 2세트,DRX Zeka,트위스티드 페이트,승,7,2,6
89,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 1세트,DRX Zeka,트위스티드 페이트,패,1,4,2
90,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 2세트,DRX Zeka,라이즈,패,3,2,3
91,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 1세트,DRX Zeka,아리,패,1,1,2
92,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 2세트,DRX Zeka,갈리오,패,0,2,1
93,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 1세트,DRX Zeka,벡스,패,0,3,3
94,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 3세트,DRX Zeka,벡스,승,5,0,3
95,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 2세트,DRX Zeka,아칼리,승,4,2,5
96,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 1세트,DRX Zeka,트위스티드 페이트,패,0,2,0
97,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 2세트,DRX Zeka,아리,승,2,1,3
98,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 1세트,DRX Zeka,아리,승,5,1,9
99,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 2세트,DRX Zeka,벡스,승,4,0,7
100,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 1세트,DRX Zeka,갈리오,승,5,2,18
101,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 2세트,DRX Zeka,아칼리,승,7,5,5
102,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 1세트,DRX Zeka,아칼리,승,10,3,3
103,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 2세트,DRX Zeka,르블랑,패,4,5,1
