,경기 일자,경기 정보,선수,챔피언,승패,Kill,Death,Assist
55,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 3세트,DRX Deft,징크스,승,7,3,12
56,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 2세트,DRX Deft,자야,패,0,2,0
57,22.07.22,2022 LoL 챔피언스 코리아 서머 정규 시즌 28일 차 2경기 1세트,DRX Deft,야스오,승,0,0,7
58,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 3세트,DRX Deft,아펠리오스,승,6,4,11
59,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 2세트,DRX Deft,세나,승,3,1,10
60,22.07.20,2022 LoL 챔피언스 코리아 서머 정규 시즌 26일 차 1경기 1세트,DRX Deft,이즈리얼,패,0,2,1
61,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 2세트,DRX Deft,아펠리오스,패,7,4,3
62,22.07.16,2022 LoL 챔피언스 코리아 서머 정규 시즌 24일 차 2경기 1세트,DRX Deft,세나,패,0,3,1
63,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 3세트,DRX Deft,루시안,패,3,2,5
64,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 2세트,DRX Deft,세나,패,0,2,5
65,22.07.14,2022 LoL 챔피언스 코리아 서머 정규 시즌 22일 차 1경기 1세트,DRX Deft,애쉬,승,5,1,5
66,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 2세트,DRX Deft,아펠리오스,패,2,3,1
67,22.07.10,2022 LoL 챔피언스 코리아 서머 정규 시즌 20일 차 1경기 1세트,DRX Deft,코그모,패,6,2,2
68,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 3세트,DRX Deft,루시안,승,3,1,6
69,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 2세트,DRX Deft,세나,패,2,4,3
70,22.07.07,2022 LoL 챔피언스 코리아 서머 정규 시즌 17일 차 1경기 1세트,DRX Deft,칼리스타,승,7,1,5
71,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 2세트,DRX Deft,칼리스타,패,1,2,1
72,22.07.01,2022 LoL 챔피언스 코리아 서머 정규 시즌 13일 차 2경기 1세트,DRX Deft,칼리스타,패,4,3,4
73,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 3세트,DRX Deft,자야,패,3,1,4
74,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 2세트,DRX Deft,칼리스타,승,6,2,0
75,22.06.29,2022 LoL 챔피언스 코리아 서머 정규 시즌 11일 차 1경기 1세트,DRX Deft,세나,패,2,4,7
76,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 2세트,DRX Deft,트위치,승,3,1,6
77,22.06.26,2022 LoL 챔피언스 코리아 서머 정규 시즌 10일 차 2경기 1세트,DRX Deft,칼리스타,승,8,2,7
78,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 3세트,DRX Deft,이즈리얼,승,0,1,0
79,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 2세트,DRX Deft,세나,패,1,4,8
80,22.06.24,2022 LoL 챔피언스 코리아 서머 정규 시즌 8일 차 1경기 1세트,DRX Deft,세나,승,2,0,15
81,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 1세트,DRX Deft,이즈리얼,승,3,3,2
82,22.06.18,2022 LoL 챔피언스 코리아 서머 정규 시즌 4일 차 2경기 2세트,DRX Deft,칼리스타,승,1,1,7
83,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 2세트,DRX Deft,세나,승,2,4,13
84,22.06.15,2022 LoL 챔피언스 코리아 서머 정규 시즌 1일 차 2경기 1세트,DRX Deft,자야,승,5,3,10
85,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 5세트,DRX Deft,아펠리오스,패,4,2,1
86,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 4세트,DRX Deft,자야,승,3,1,11
87,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 3세트,DRX Deft,자야,패,0,3,2
88,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 2세트,DRX Deft,자야,승,6,4,9
89,22.03.24,2022 LCK 스프링 포스트 시즌 1R 2경기 1세트,DRX Deft,자야,패,2,4,1
90,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 2세트,DRX Deft,케이틀린,패,4,5,4
91,22.03.20,2022 LoL 챔피언스 코리아 스프링 정규 시즌 45일차 2경기 1세트,DRX Deft,아펠리오스,패,2,3,1
92,22.03.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 42일차 1경기 2세트,DRX Deft,징크스,패,0,5,0
93,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 3세트,DRX Deft,아펠리오스,승,3,0,3
94,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 2세트,DRX Deft,징크스,승,8,1,4
95,22.03.13,2022 LoL 챔피언스 코리아 스프링 정규 시즌 40일차 2경기 1세트,DRX Deft,징크스,패,0,3,0
96,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 2세트,DRX Deft,베인,승,2,1,4
97,22.03.09,2022 LoL 챔피언스 코리아 스프링 정규 시즌 36일차 1경기 1세트,DRX Deft,카이사,승,8,1,4
98,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 2세트,DRX Deft,카이사,승,2,2,6
99,22.03.06,2022 LoL 챔피언스 코리아 스프링 정규 시즌 35일차 1경기 1세트,DRX Deft,카이사,승,13,0,6
100,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 2세트,DRX Deft,카이사,승,5,1,7
101,22.03.04,2022 LoL 챔피언스 코리아 스프링 정규 시즌 33일차 1경기 1세트,DRX Deft,징크스,승,4,3,12
102,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 2세트,DRX Deft,아펠리오스,패,2,4,5
103,22.02.27,2022 LoL 챔피언스 코리아 스프링 정규 시즌 30일차 1경기 1세트,DRX Deft,아펠리오스,패,3,3,3
104,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 3세트,DRX Deft,징크스,승,7,1,6
105,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 2세트,DRX Deft,진,패,4,2,3
106,22.02.24,2022 LoL 챔피언스 코리아 스프링 정규 시즌 27일차 1경기 1세트,DRX Deft,진,승,3,0,5
107,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 2세트,DRX Deft,징크스,패,1,3,2
108,22.02.19,2022 LoL 챔피언스 코리아 스프링 정규 시즌 24일차 1경기 1세트,DRX Deft,징크스,패,0,2,4
109,22.02.17,2022 LoL 챔피언스 코리아 스프링 정규 시즌 22일차 2경기 3세트,DRX Deft,자야,승,3,2,4
